table_id,product_code,issue_year,gender,uw_class,policy_status,sa_band,prem_band,policy_year,lapse_annual
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,1,0.15
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,2,0.1
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,3,0.1
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,4,0.06
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,5,0.06
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,6,0.04
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,7,0.04
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,8,0.04
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,9,0.04
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,10,0.04
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,11,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,12,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,13,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,14,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,15,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,16,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,17,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,18,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,19,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,20,0.02
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,21,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,22,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,23,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,24,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,25,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,26,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,27,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,28,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,29,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,30,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,50,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,100,0.01
LAPSE_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,130,0.01
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,1,0.15
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,2,0.1
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,3,0.1
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,4,0.06
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,5,0.06
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,6,0.04
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,7,0.04
LAPSE_BASE_V1_T2,WL,2020,M,STD,INFORCE,SA_0_100K,ALL,8,0.04
