table_id,product_code,issue_year,gender,uw_class,policy_status,sa_band,prem_band,attained_age,qx_annual
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,20,0.000115
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,21,0.00012458
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,22,0.00013495
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,23,0.00014619
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,24,0.00015837
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,25,0.00017156
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,26,0.00018585
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,27,0.00020133
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,28,0.0002181
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,29,0.00023626
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,30,0.00025594
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,31,0.00027725
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,32,0.00030035
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,33,0.00032536
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,34,0.00035246
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,35,0.00038181
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,36,0.00041361
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,37,0.00044806
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,38,0.00048538
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,39,0.00052581
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,40,0.0005696
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,41,0.00061704
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,42,0.00066843
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,43,0.0007241
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,44,0.00078441
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,45,0.00084974
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,46,0.00092051
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,47,0.00099718
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,48,0.00108023
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,49,0.0011702
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,50,0.00126767
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,51,0.00137325
MORT_BASE_V1_T1,WL,2020,M,STD,INFORCE,SA_0_100K,PREM_0_10K,52,0.00148762
